clusterno,tweetd
2162,1110877655816007680
2163,1112382647400099846
2164,1111308103897804800
2165,1112197826920906752
2166,1105871915674144768
2167,1112113982519816192
2168,1112052189084770305
2169,1105842997441323008
2170,1105830788103319552
2171,1068795601964421121
2172,1068732070661365760
2173,1105623205648060416
2174,1070806850231255040
2175,1070708022450765824
2176,1070366894379667456
2177,1070354622106218496
2178,1070337986938720256
2179,1070317733236105216
2180,1102645913984614401
2181,1102382093601030146
2182,1102376057708138496
2183,1106404576595533824
2184,1101496140376170496
2185,1101030751490002944
2186,1078780295359459329
2187,1109486708402327554
2188,1100870333127630853
2189,1105871372226646016
2190,1103807742706216960
2191,1100748321969373184
2192,1111468035829915648
2193,1111354784471310337
2194,1099135561359454208
2195,1111611508885282816
2196,1110406333369585665
2197,1111278780063072256
2198,1108675895609434113
2199,1099022456944234497
2200,1111352285035147264
2201,1112574440972451840
2202,1110571276446371846
2203,1099001495947829248
2204,1112214528559853568
2205,1110196590982189058
2206,1096092340408799234
2207,1112458633001033733
2208,1112693594333208576
2209,1091666768802824193
2210,1111292158609375233
2211,1112671444591349765
2212,1090030180922478599
2213,1110404418300723202
2214,1099394684647075840
2215,1089997978167857155
2216,1112097185502507008
2217,1106249885005680641
2218,1088573913347444737
2219,1088171437616177152
2220,1088140399389089792
2221,1085936749711380481
2222,1099391420404822016
2223,1098635685588803585
2224,1085921831972933633
2225,1109344209817894912
2226,1085550090998173697
2227,1085534607460782081
2228,1109348483901935617
2229,1100690684095459329
2230,1078710073537585152
2231,1085174089667526656
2232,1110997443947184133
2233,1111012475644928000
2234,1083551433985712128
2235,1060287221864038402
2236,1112449261013225472
2237,1111017159709392897
2238,1110972527914950656
2239,1112439177453416448
2240,1057236303652229120
2241,1109320549602336774
2242,1081177187405971457
2243,1111674414326792203
2244,1111592244635680769
2245,1078708691254288384
2246,1109577094202302464
2247,1109577076682735616
2248,1075404771283079168
2249,1109106268290105345
2250,1091330043035439106
2251,1075060551875727361
2252,1078487567367049216
2253,1078483213050413057
2254,1073302029106380800
2255,1096558830505218048
2256,1096517357755879425
2257,1073287801481936901
2258,1078035622303014912
2259,1072160034342219778
2260,1070714309565693954
2261,1111741589104324608
2262,1111362238026256386
2263,1112159141764706305
2264,1112099801322213378
2265,1069943171738689536
2266,1068741072602480640
2267,1068740652903604224
2268,1068733914334793729
2269,1068589657389191173
2270,1068587445741121537
2271,1068582476015120384
2272,1068561943223398400
2273,1112666224171851776
2274,1112542185067548672
2275,1068580504880988161
2276,1068475460915527680
2277,1081251046318620672
2278,1068472199135326208
2279,1111500752806207488
2280,1111240892625629185
2281,1068170674177482752
2282,1097282562148495365
2283,1075087269621571585
2284,1068169037610434560
2285,1093204484405293056
2286,1080147163211071488
2287,1067149440773836802
2288,1111190051499720705
2289,1090015182582177793
2290,1066840494389542914
2291,1112305083470004229
2292,1112269750644756480
2293,1112215568508223489
2294,1112618667462795264
2295,1112401787527577601
2296,1073321250938859520
2297,1064972900032225280
2298,1064951468678160384
2299,1053418255409283072
2300,1053410565568135168
2301,1053014865009348610
2302,1063033426301857792
2303,1111844254886912001
2304,1111631621696995328
2305,1111553251361603584
2306,1109792088068182016
2307,1098351151479734280
2308,1064709226113597441
2309,1064639113331187712
2310,1085997641652154370
2311,1064641167885828098
2312,1064634676688621568
2313,1097693918152380416
2314,1063626893008633857
2315,1063263482873765888
2316,1060276573260144640
2317,1110746707153899520
2318,1062065752965029889
2319,1062061631239348227
2320,1062059827659227141
2321,1066790406426451973
2322,1062539393175437315
2323,1061813040579010561
2324,1109510561430147072
2325,1086753669318508544
2326,1061002971624939521
2327,1068271129658310656
2328,1061001679485706246
2329,1060997965622509568
2330,1091785550292492289
2331,1091478763458576384
2332,1060548200585744387
2333,1109665449061568517
2334,1057377944555925504
2335,1056283451907862528
2336,1056278983518629893
2337,1056262639809060864
2338,1056232891582111744
2339,1056203629265207296
2340,1056201705388421121
2341,1056200264116592640
2342,1060493340586754048
2343,1060490425545510912
2344,1060522939882369024
2345,1060591774010351616
2346,1060589402378907648
2347,1060516643208683520
2348,1060931022429306881
2349,1060474609001250816
2350,1060464553337724928
2351,1060922594499665920
2352,1060508541709176832
2353,1060500773782646784
2354,1060602284898504704
2355,1060496725587251200
2356,1060485471464275969
2357,1060468551671341056
2358,1060467200316846080
2359,1060461422939762688
2360,1092755493012017152
2361,1060474704413237253
2362,1112104714861273088
2363,1112029216390823937
2364,1060238085991161861
2365,1061223355108466689
2366,1064940035869458433
2367,1059446801860837376
2368,1111317542713348096
2369,1088194541507756037
2370,1058545941513289728
2371,1111258436518510592
2372,1111657278078365697
2373,1111637142625755136
2374,1058498216612823041
2375,1112259994924273664
2376,1112686310957944833
2377,1057992799872864256
